almacenamiento,cpu,departamento,descripcion,dns,estado,hostname,hypervisor,id,ipadmin,ipprod,namekey,ram,servicio,sistema,tipo,ubicacion
20,2,I+D,Web service tomcat 04,ws4.encontrack.com,True,wsinternosplvfl03,vmware,69,10.190.5.54,10.190.6.54,ws-04,4,tomcat,Centos Linux 7.8,virtual,miami
20,4,I+D,Web service tomcat 11,ws11.encontrack.com,True,wsinternosplvfl05,vmware,70,10.190.5.153,10.190.6.153,ws-11,12,tomcat,Centos Linux 7.8,virtual,miami
20,2,I+D,Web service tomcat publico,tomcatpublico.encontrack.com,True,wsinternosplvfl06,vmware,71,10.190.5.43,10.190.6.43,ws-publico,2,tomcat,Centos Linux 7.8,virtual,miami
20 ,2,I+D,portal de HDI,hdi.encontrack.com,True,srvhdiplvfl01,vmware,72,10.190.5.71,10.190.6.71,hdi-portal,2,apache,Centos Linux 7.5,virtual,miami
20,2,I+D,Servidor de notificaciones,notificaciones.encontrack.com,True,srvnotificacionesplvfl01,vmware,73,10.190.5.63,10.190.6.63,notificaciones,4,supervisor,Centos Linux 7.8,virtual,miami
20,2,I+D,LDAP produccion principal,ldap.encontrack.com,True,srvldapplvfl01,vmware,74,10.190.5.46,10.190.6.46,ldap-pro,3,open-ldap,Centos Linux 5.5,virtual,miami
60,8,SIO,Servicios de SIO,servicios-sio.encontrack.com,True,srvserviciosplvfl01,vmware,75,10.190.5.196,10.190.6.196,servicios-sio,12,api-sio,Centos Linux 6.9,virtual,miami
250,16,SIO,Base de datos servicios sio,db-servicios.encontrack.com,True,dbserviciosplvfl01,vmware,76,10.190.5.195,10.190.6.196,db-servicios-sio,32,cache,Red Hat Enterprise 6.9,virtual,miami
20,2,I+D,DNS pruebas,slave-dns01.encontrack.com,True,srvslavednsplvqr01,vmware,77,10.10.4.32,10.10.4.32,slave-qro01,4,dns,Centos Linux 7.8,virtual,qro
32,2,I+D,Ansible_bastion_aws_prod,bastion.amtelser.com,True,ansibleplaws01,kvm,79,172.31.116.163,172.31.116.163,ansible_aws_pro,4,bastion,Amazon,virtual,ams
20,2,I+D,test,ws2-test.encontrack.com,True,ws2test-aws,vmware,80,192.168.3.65,192.168.3.65,ws2-test-aws,2,tomcat,Centos,virtual,aws
20,2,I+D,test,ws1-test.encontrack.com,True,ws1test0202,vmware,81,192.168.3.73,192.168.3.73,ws1-test0202,2,tomcat,Centos,virtual,qro
20,2,I+D,server bastion,bastion.amtelser.com,True,bastion-des,vmware,82,192.168.3.67,192.168.3.67,bastion-des,2,tomcat,Centos,virtual,qro
20,2,I+D,Integrador,ws1-test-n.encontrack.com,True,ws1test-n,aws,83,192.168.3.64,192.168.3.64,ws1-test-n,2,tomcat,Centos,virtual,cdmx-cua
31,1,I+D,test,ws11-test.encontrack.com,True,ws11test,VMware,84,192.168.3.66,192.168.3.66,ws11-test,2,tomcat,CentOS,virtual,qro
